Disease,Symptoms,symptom 1
Drug Reaction,"Doctor, I’ve been having a lot of itching on my skin, and it’s accompanied by a rash that’s really uncomfortable. Along with that, I’ve been experiencing some stomach pain that comes and goes. It’s been going on for a few days now, and I’m not sure what’s causing it. Could you please help?","itching, skin rash, stomach pain"
Malaria,"Doctor, I’ve been feeling really unwell. I’ve had chills that make me shiver, and I’ve been vomiting on and off. On top of that, I’ve got a high fever that just doesn’t seem to go away. It’s been really hard to manage, and I’m starting to feel weak. Could you tell me what might be going on?","chills, vomiting, high fever"
Allergy,"Doctor, I’ve been sneezing continuously, and it just won’t stop. Along with that, I’ve been shivering quite a bit, even when it’s not that cold. My eyes are watering constantly, and it’s really uncomfortable. Could you help me figure out what’s causing this?","continuous sneezing, shivering, watering from eyes"
Hypothyroidism,"Doctor, I’ve been feeling really fatigued lately, no matter how much I rest. I’ve also noticed that I’ve been losing weight without trying, and I often feel restless and unable to relax. It’s starting to affect my daily life. Could you help me understand what’s going on?","fatigue, weight loss, restlessness"
Psoriasis,"Doctor, I’ve been dealing with a skin rash that’s quite uncomfortable, and my joints have been aching a lot. On top of that, I’ve noticed some peeling on my skin, which is really concerning me. Can you please help me figure out what’s happening?","skin rash, joint pain, skin peeling"
GERD,"Doctor, I’ve been having persistent stomach pain that comes and goes, and I’ve been feeling a lot of acidity as well. On top of that, I’ve experienced vomiting a few times, which is making it hard to keep anything down. Can you help me understand what might be wrong?","stomach pain, acidity, vomiting"
Chronic cholestasis,"Doctor, I’ve noticed that my skin has a yellowish tint, which has me worried. I’ve also been feeling nauseous a lot lately, and I’ve completely lost my appetite. It’s been going on for a while now. Could you help me figure out what’s happening?","yellowish skin, nausea, loss of appetite"
hepatitis A,"Doctor, I’ve noticed my skin has turned yellowish, and my urine has become much darker than usual. I’ve also been feeling nauseous quite often. It’s really starting to worry me. Can you help me understand what’s going on?","yellowish skin, dark urine, nausea"
Osteoarthristis,"Doctor, I’ve been experiencing a lot of pain in my neck and hip joints lately. Along with that, I’ve noticed some swelling in my joints, which is making it hard to move around comfortably. Could you help me figure out what’s causing this?","neck pain, hip joint pain, swelling joints"
Vertigo,"Doctor, I’ve been feeling really nauseous recently, and it seems like the room is spinning around me. I’m also having trouble maintaining my balance, and I’ve been stumbling a lot. It’s been quite unsettling. Can you help me understand what might be happening?","nausea, spinning movements, loss of balance"
Hypoglycemia,"Doctor, I’ve been feeling extremely anxious lately, and it seems like the sweating won’t stop, even when I’m not doing anything physically demanding. I’ve also been getting these constant headaches, which just add to the discomfort. Can you help me figure out what’s going on?","anxiety, sweating, headache"
Acne,"Doctor, I’ve been dealing with pus-filled pimples, and it’s really frustrating. I’ve also noticed a lot of blackheads and some scarring from previous breakouts. It’s making me feel self-conscious, and I’m not sure how to treat it. Could you help me with this?","pus filled pimples, blackheads, scurring"
Diabetes ,"Doctor, I’ve been experiencing excessive hunger, no matter how much I eat. Along with that, I’ve been feeling really lethargic, like I have no energy. I also suspect my blood sugar levels are irregular, as I’ve been feeling really off. Can you help me understand what might be going on?","excessive hunger, lethargy, irregular sugar level"
Impetigo,"Doctor, I’ve been running a high fever for a while now, and I’ve developed a blister near my nose. There's also a red sore around the same area, and it's quite painful. It’s been bothering me a lot, and I’m getting really concerned. Can you help me figure out what’s going on?","high fever, blister, red sore around nose"
